Gene1 = (!Gene3) | (Gene1) | (Gene5) | (Gene11) | (!Gene4) | (!Gene12) | (!Gene14) | (!Gene7) | (!Gene16) | (!Gene2)
Gene2 = (!Gene16) | (Gene2) | (!Gene3) | (!Gene14) | (Gene12) | (Gene4) | (Gene9) | (!Gene1) | (Gene6) | (!Gene7)
Gene3 = (!Gene14) | (!Gene12) | (!Gene7) | (Gene3) | (!Gene2) | (!Gene10) | (!Gene16) | (!Gene1) | (Gene6) | (Gene11)
Gene4 = (Gene3) | (!Gene1) | (Gene6) | (Gene11) | (Gene4) | (!Gene12) | (!Gene14) | (!Gene7) | (!Gene10) | (!Gene2)
Gene5 = (Gene11) | (Gene5) | (Gene1) | (!Gene3) | (!Gene4) | (!Gene12) | (!Gene14) | (!Gene7) | (!Gene16) | (!Gene2)
Gene6 = (!Gene9) & (Gene6) & (Gene3) & (!Gene11) & (Gene4) & (Gene12) & (Gene14) & (Gene7) & (Gene16) & (Gene2)
Gene7 = (!Gene14) | (!Gene3) | (Gene7) | (!Gene16) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene1) | (Gene6) | (!Gene12)
Gene8 = (Gene3) & (Gene10) & (Gene5) & (!Gene11) & (Gene4) & (Gene12) & (Gene14) & (Gene1) & (Gene16) & (Gene2)
Gene9 = (Gene1) & (!Gene6) & (Gene5) & (Gene11) & (Gene4) & (Gene12) & (Gene14) & (Gene7) & (!Gene16) & (Gene2)
Gene10 = (Gene4) | (!Gene3) | (!Gene1) | (Gene6) | (Gene9) | (Gene12) | (!Gene14) | (!Gene7) | (!Gene16) | (Gene2)
Gene11 = (!Gene3) | (!Gene1) | (!Gene5) | (Gene11) | (!Gene4) | (!Gene12) | (!Gene14) | (Gene9) | (!Gene16) | (!Gene2)
Gene12 = (Gene14) | (Gene12) | (Gene7) | (!Gene16) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene1) | (Gene6) | (!Gene10)
Gene13 = (Gene13) | (!Gene10) | (!Gene12) | (!Gene16) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene1) | (Gene6) | (Gene9)
Gene14 = (Gene12) | (Gene14) | (Gene7) | (!Gene16) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene1) | (Gene6) | (!Gene10)
Gene15 = (!Gene10) & (Gene1) & (!Gene6) & (!Gene11) & (Gene4) & (Gene12) & (Gene14) & (!Gene7) & (Gene16) & (Gene2)
Gene16 = (Gene2) | (Gene16) | (!Gene3) | (!Gene14) | (!Gene12) | (!Gene4) | (!Gene5) | (!Gene1) | (Gene6) | (!Gene10)
