Gene1 = (!Gene7) | (Gene1) | (Gene5) | (Gene11) | (!Gene12) | (!Gene3) | (!Gene4) | (!Gene16) | (!Gene2) | (!Gene10)
Gene2 = (Gene4) | (!Gene3) | (Gene9) | (!Gene7) | (Gene6) | (!Gene1) | (Gene12) | (!Gene16) | (Gene2) | (Gene10)
Gene3 = (!Gene14) | (Gene3) | (!Gene7) | (Gene11) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene16) | (!Gene2) | (!Gene10)
Gene4 = (Gene3) | (Gene4) | (!Gene7) | (Gene11) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene14) | (!Gene2) | (!Gene10)
Gene5 = (Gene11) | (Gene5) | (!Gene7) | (Gene1) | (!Gene12) | (!Gene3) | (!Gene4) | (!Gene16) | (!Gene2) | (!Gene10)
Gene6 = (!Gene9) & (Gene6) & (Gene7) & (!Gene11) & (Gene12) & (Gene3) & (Gene4) & (Gene16) & (Gene2) & (Gene10)
Gene7 = (!Gene2) | (!Gene16) | (!Gene12) | (!Gene1) | (Gene6) | (!Gene5) | (Gene7) | (!Gene3) | (!Gene4) | (!Gene14)
Gene8 = (Gene5) & (!Gene9) & (Gene14) & (Gene1) & (Gene12) & (Gene3) & (Gene4) & (Gene16) & (Gene2) & (Gene10)
Gene9 = (Gene9) & (Gene13) & (Gene12) & (Gene1) & (!Gene6) & (Gene5) & (!Gene11) & (Gene3) & (Gene4) & (Gene10)
Gene10 = (!Gene14) | (!Gene4) | (!Gene5) | (Gene11) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene16) | (!Gene2) | (Gene10)
Gene11 = (!Gene5) | (Gene11) | (!Gene14) | (!Gene1) | (!Gene12) | (!Gene3) | (!Gene4) | (!Gene16) | (!Gene2) | (Gene9)
Gene12 = (!Gene4) | (!Gene3) | (!Gene7) | (!Gene5) | (Gene6) | (Gene1) | (Gene12) | (Gene16) | (!Gene2) | (!Gene10)
Gene13 = (!Gene14) | (!Gene16) | (!Gene12) | (!Gene1) | (Gene6) | (!Gene5) | (!Gene2) | (!Gene3) | (!Gene4) | (Gene13)
Gene14 = (Gene14)
Gene15 = (Gene5) & (!Gene11) & (!Gene6) & (Gene1) & (Gene12) & (Gene3) & (Gene14) & (Gene16) & (Gene2) & (!Gene10)
Gene16 = (Gene15) | (Gene16) | (!Gene12) | (!Gene1) | (Gene6) | (!Gene5) | (!Gene14) | (!Gene3) | (!Gene4) | (!Gene10)
