Gene1 = (!Gene7) | (Gene1) | (Gene5) | (Gene11) | (!Gene4) | (!Gene16) | (!Gene2) | (!Gene3) | (!Gene10) | (!Gene14)
Gene2 = (Gene9) | (!Gene13) | (!Gene7) | (Gene6) | (!Gene1) | (!Gene16) | (Gene2) | (!Gene3) | (Gene10) | (!Gene14)
Gene3 = (!Gene14) | (!Gene12) | (!Gene7) | (Gene3) | (!Gene10) | (!Gene2) | (Gene11) | (Gene6) | (!Gene1) | (!Gene16)
Gene4 = (!Gene7) | (Gene11) | (Gene6) | (!Gene1) | (Gene4) | (!Gene12) | (!Gene2) | (Gene3) | (!Gene10) | (!Gene14)
Gene5 = (Gene11) | (Gene5) | (!Gene7) | (Gene1) | (!Gene4) | (!Gene16) | (!Gene2) | (!Gene3) | (!Gene10) | (!Gene14)
Gene6 = (!Gene9) & (Gene6) & (Gene7) & (!Gene11) & (Gene4) & (Gene16) & (Gene2) & (Gene3) & (Gene10) & (Gene14)
Gene7 = (!Gene14) | (Gene2) | (!Gene10) | (!Gene3) | (!Gene4) | (!Gene5) | (!Gene12) | (Gene6) | (!Gene1) | (Gene16)
Gene8 = (Gene5) & (!Gene11) & (Gene13) & (Gene12) & (Gene4) & (Gene16) & (Gene2) & (Gene7) & (Gene10) & (Gene14)
Gene9 = (!Gene8) & (!Gene9) & (Gene12) & (Gene3) & (Gene4) & (Gene5) & (Gene11) & (!Gene6) & (Gene1) & (!Gene16)
Gene10 = (!Gene12) | (!Gene5) | (!Gene4) | (Gene6) | (!Gene1) | (!Gene16) | (!Gene2) | (Gene11) | (Gene10) | (!Gene14)
Gene11 = (!Gene5) | (Gene11) | (!Gene12) | (!Gene1) | (!Gene4) | (!Gene16) | (!Gene2) | (!Gene3) | (Gene9) | (!Gene14)
Gene12 = (!Gene14) | (Gene12) | (!Gene7) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene3) | (Gene6) | (Gene1) | (Gene16)
Gene13 = (Gene16) | (!Gene2) | (!Gene7) | (Gene6) | (!Gene5) | (Gene1) | (!Gene4) | (!Gene3) | (!Gene10) | (!Gene14)
Gene14 = (Gene12) | (Gene14) | (Gene7) | (!Gene2) | (!Gene4) | (!Gene5) | (!Gene10) | (Gene6) | (!Gene1) | (!Gene16)
Gene15 = (Gene5) & (!Gene11) & (!Gene6) & (Gene1) & (Gene12) & (Gene16) & (Gene2) & (Gene3) & (Gene15) & (Gene14)
Gene16 = (Gene15) | (Gene16) | (!Gene1) | (Gene6) | (!Gene5) | (!Gene12) | (!Gene4) | (!Gene3) | (!Gene10) | (!Gene14)
