Gene1 = (Gene8) | (Gene1) | (!Gene2) | (!Gene6) | (!Gene10) | (Gene15) | (Gene5) | (!Gene14) | (Gene13) | (!Gene12)
Gene2 = (Gene9) | (Gene2) | (!Gene12) | (!Gene11) | (!Gene7) | (!Gene8) | (!Gene1) | (Gene4) | (!Gene6) | (Gene5)
Gene3 = (Gene10) | (Gene6) | (!Gene2) | (!Gene7) | (!Gene1) | (!Gene8) | (!Gene5) | (Gene3) | (!Gene13) | (!Gene12)
Gene4 = (Gene7) & (Gene12) & (Gene13) & (Gene2) & (Gene9) & (Gene8) & (Gene1) & (!Gene14) & (Gene6) & (!Gene10)
Gene5 = (Gene7) & (!Gene6) & (!Gene10) & (Gene2) & (Gene1) & (Gene8) & (Gene5) & (!Gene3) & (Gene13) & (Gene12)
Gene6 = (Gene10) | (!Gene2) | (!Gene7) | (Gene6) | (!Gene1) | (!Gene8) | (!Gene5) | (Gene3) | (!Gene13) | (!Gene12)
Gene7 = (!Gene12) | (!Gene13) | (Gene7) | (!Gene2) | (Gene4) | (!Gene8) | (!Gene1) | (Gene14) | (!Gene6) | (Gene10)
Gene8 = (!Gene7) | (Gene8) | (!Gene2) | (!Gene6) | (!Gene10) | (Gene15) | (!Gene5) | (!Gene3) | (!Gene13) | (!Gene12)
Gene9 = (Gene2) | (Gene9) | (!Gene12) | (Gene15) | (!Gene7) | (!Gene8) | (!Gene1) | (Gene16) | (!Gene6) | (!Gene11)
Gene10 = (!Gene2) | (Gene10) | (Gene15) | (!Gene7) | (Gene1) | (!Gene8) | (Gene5) | (!Gene9) | (!Gene13) | (!Gene12)
Gene11 = (Gene11)
Gene12 = (Gene5) | (Gene12) | (Gene7) | (!Gene2) | (!Gene11) | (!Gene8) | (!Gene1) | (Gene14) | (!Gene6) | (!Gene10)
Gene13 = (!Gene12) | (Gene13) | (!Gene7) | (!Gene2) | (!Gene9) | (Gene8) | (Gene1) | (!Gene14) | (!Gene6) | (!Gene10)
Gene14 = (Gene1) & (Gene8) & (Gene14) & (Gene6) & (!Gene2) & (!Gene15) & (!Gene5) & (!Gene4) & (Gene13) & (Gene12)
Gene15 = (!Gene6) & (!Gene10) & (Gene2) & (Gene15) & (Gene1) & (Gene8) & (Gene5) & (!Gene3) & (Gene13) & (Gene12)
Gene16 = (Gene16) & (Gene10) & (Gene6) & (!Gene15) & (Gene2) & (Gene1) & (Gene8) & (!Gene5) & (Gene13) & (Gene12)
