Gene1 = (!Gene3) | (Gene1) | (Gene5) | (Gene11) | (!Gene4) | (!Gene10) | (!Gene2) | (!Gene16) | (!Gene12) | (!Gene14)
Gene2 = (!Gene10) | (!Gene4) | (Gene2) | (Gene16) | (!Gene5) | (!Gene3) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene14)
Gene3 = (!Gene14) | (!Gene12) | (!Gene7) | (!Gene10) | (Gene3) | (!Gene2) | (!Gene1) | (!Gene16) | (Gene11) | (Gene6)
Gene4 = (!Gene10) | (Gene4) | (!Gene2) | (Gene3) | (!Gene7) | (Gene11) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene14)
Gene5 = (Gene11) | (Gene5) | (!Gene3) | (Gene1) | (!Gene4) | (!Gene10) | (!Gene2) | (!Gene16) | (!Gene12) | (!Gene14)
Gene6 = (!Gene9) & (Gene6) & (Gene3) & (!Gene11) & (Gene4) & (Gene10) & (Gene2) & (Gene16) & (Gene12) & (Gene14)
Gene7 = (!Gene14) | (!Gene12) | (!Gene1) | (!Gene10) | (!Gene4) | (Gene2) | (Gene16) | (!Gene5) | (!Gene3) | (Gene6)
Gene8 = (Gene3) & (!Gene9) & (Gene5) & (Gene1) & (Gene4) & (Gene10) & (Gene2) & (Gene16) & (Gene12) & (Gene14)
Gene9 = (!Gene8) & (!Gene9) & (Gene4) & (!Gene16) & (Gene5) & (Gene11) & (!Gene6) & (Gene1) & (Gene12) & (Gene14)
Gene10 = (Gene4) | (Gene10) | (Gene2) | (!Gene16) | (!Gene3) | (!Gene7) | (Gene6) | (!Gene1) | (Gene12) | (!Gene14)
Gene11 = (!Gene3) | (Gene11) | (!Gene7) | (Gene9) | (!Gene4) | (!Gene10) | (!Gene2) | (!Gene16) | (!Gene12) | (!Gene14)
Gene12 = (Gene14) | (Gene12) | (Gene7) | (!Gene10) | (!Gene4) | (!Gene2) | (!Gene16) | (!Gene5) | (!Gene1) | (Gene6)
Gene13 = (Gene7) | (!Gene16) | (Gene13) | (!Gene4) | (!Gene5) | (!Gene3) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene14)
Gene14 = (Gene12) | (Gene14) | (Gene7) | (!Gene10) | (!Gene4) | (!Gene2) | (!Gene16) | (!Gene5) | (!Gene1) | (Gene6)
Gene15 = (Gene5) & (Gene11) & (!Gene6) & (Gene1) & (Gene4) & (!Gene10) & (Gene2) & (Gene16) & (Gene12) & (Gene14)
Gene16 = (!Gene3) | (!Gene10) | (!Gene4) | (Gene16) | (!Gene5) | (Gene15) | (Gene6) | (!Gene1) | (!Gene12) | (!Gene14)
