Gene1 = Gene1&!Gene10
Gene2 = !Gene1 || !Gene9 || Gene12 || !Gene10 || Gene16&!Gene3
Gene3 = Gene3&!Gene10
Gene4 = Gene2&Gene7
Gene5 = Gene5&Gene6&!Gene2&!Gene4&!Gene9
Gene6 = Gene6&Gene9
Gene7 = Gene7&!Gene6 || Gene8&!Gene3
Gene8 = Gene3&Gene11&Gene14&Gene15&!Gene8&!Gene9&!Gene13
Gene9 = Gene9
Gene10 = Gene2&Gene3&Gene4&Gene8&Gene14&Gene15&!Gene10&!Gene12
Gene11 = Gene1&Gene11&!Gene8
Gene12 = Gene12
Gene13 = !Gene8&!Gene13 || !Gene9
Gene14 = !Gene15
Gene15 = Gene12&!Gene13&!Gene15
Gene16 = Gene16&!Gene2 || Gene7&Gene16
