Gene1 = (Gene1) | (Gene10) | (Gene52) | (Gene59) | (Gene20) | (Gene42) | (!Gene5) | (Gene30) | (Gene62) | (Gene40)
Gene2 = (Gene2) & (!Gene35) & (!Gene48) & (!Gene20) & (!Gene42) & (Gene5) & (!Gene30) & (!Gene62) & (!Gene40) & (!Gene38)
Gene3 = (!Gene10) & (!Gene35) & (!Gene6) & (!Gene9) & (!Gene20) & (!Gene42) & (Gene5) & (!Gene30) & (Gene12) & (!Gene40)
Gene4 = (!Gene14) & (!Gene55) & (!Gene56) & (!Gene2) & (!Gene5) & (Gene30) & (Gene11) & (!Gene40) & (Gene61) & (!Gene57)
Gene5 = (!Gene58) & (!Gene20) & (!Gene27) & (Gene5) & (!Gene22) & (Gene25) & (!Gene40) & (Gene34) & (!Gene56) & (!Gene42)
Gene6 = (Gene13) & (Gene31) & (Gene39) & (!Gene12) & (!Gene2) & (!Gene51) & (Gene34) & (Gene36) & (Gene45) & (Gene46)
Gene7 = (Gene7) | (Gene2) | (Gene22) | (Gene40) | (Gene52) | (Gene50) | (Gene27) | (Gene56) | (Gene33) | (Gene57)
Gene8 = (Gene22) | (Gene8) | (Gene27) | (Gene40) | (Gene9) | (Gene50) | (Gene2) | (Gene56) | (Gene6) | (Gene57)
Gene9 = (Gene32) & (Gene14) & (!Gene12) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38) & (Gene11)
Gene10 = (Gene13) & (!Gene2) & (Gene46) & (Gene39) & (Gene60) & (!Gene51) & (Gene45) & (Gene34) & (Gene11) & (!Gene17)
Gene11 = (Gene10) | (!Gene34) | (Gene20) | (!Gene25) | (Gene24) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene55)
Gene12 = (Gene51) | (!Gene39) | (Gene12) | (Gene2) | (!Gene13) | (!Gene11) | (!Gene34) | (!Gene46) | (!Gene45) | (!Gene10)
Gene13 = (!Gene2) & (Gene46) & (Gene39) & (Gene13) & (Gene60) & (!Gene51) & (Gene45) & (Gene34) & (Gene11) & (!Gene17)
Gene14 = (Gene33) & (Gene7) & (!Gene12) & (!Gene2) & (Gene55) & (Gene11) & (Gene8) & (Gene36) & (Gene38) & (Gene6)
Gene15 = (Gene27) | (Gene2) | (Gene61) | (Gene18) | (Gene8) | (Gene36) | (!Gene12) | (Gene6) | (Gene9) | (Gene50)
Gene16 = (Gene5) | (Gene43) | (Gene49) | (Gene2) | (Gene50) | (Gene52) | (Gene8) | (Gene27) | (Gene22) | (Gene57)
Gene17 = (!Gene2) & (!Gene56) & (!Gene61) & (!Gene20) & (!Gene8) & (!Gene36) & (Gene12) & (!Gene6) & (!Gene9) & (!Gene50)
Gene18 = (Gene21) & (!Gene60) & (!Gene9) & (!Gene6) & (Gene12) & (!Gene50) & (!Gene55) & (!Gene56) & (Gene8) & (!Gene1)
Gene19 = (!Gene32) | (!Gene31) | (Gene12) | (Gene2) | (!Gene55) | (!Gene7) | (!Gene8) | (!Gene36) | (!Gene38) | (!Gene13)
Gene20 = (Gene9) & (Gene24) & (Gene48) & (!Gene2) & (Gene30) & (Gene7) & (Gene8) & (Gene38) & (Gene57) & (Gene49)
Gene21 = (Gene9) & (Gene6) & (!Gene12) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38) & (Gene11)
Gene22 = (Gene22) & (!Gene37) & (!Gene17) & (Gene25) & (Gene55) & (Gene9) & (Gene8) & (Gene36) & (Gene38) & (Gene14)
Gene23 = (Gene57) & (Gene38) & (!Gene5) & (!Gene2) & (!Gene6) & (!Gene9) & (!Gene50) & (!Gene17) & (!Gene56) & (!Gene18)
Gene24 = (!Gene34) | (Gene22) | (Gene40) | (!Gene25) | (Gene24) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene20)
Gene25 = (Gene6) | (Gene9) | (!Gene20) | (!Gene48) | (Gene8) | (Gene5) | (!Gene30) | (Gene2) | (Gene40) | (Gene38)
Gene26 = (!Gene34) | (Gene22) | (Gene58) | (Gene10) | (Gene26) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (Gene56)
Gene27 = (Gene33) & (!Gene2) & (Gene57) & (Gene38) & (Gene49) & (!Gene12) & (Gene6) & (Gene9) & (Gene14) & (Gene55)
Gene28 = (Gene20) | (Gene2) | (Gene22) | (Gene10) | (!Gene25) | (Gene6) | (Gene9) | (Gene56) | (Gene50) | (Gene55)
Gene29 = (Gene27) & (Gene9) & (Gene28) & (!Gene12) & (!Gene2) & (Gene55) & (Gene7) & (Gene8) & (Gene36) & (Gene38)
Gene30 = (!Gene2) & (Gene31) & (Gene39) & (Gene11) & (Gene46) & (Gene30) & (Gene45) & (Gene13) & (Gene10) & (!Gene12)
Gene31 = (Gene2) | (Gene31) | (Gene22) | (!Gene34) | (Gene8) | (Gene29) | (!Gene12) | (Gene6) | (Gene9) | (Gene50)
Gene32 = (!Gene2) & (Gene46) & (Gene39) & (Gene13) & (Gene60) & (Gene11) & (Gene10) & (Gene32) & (Gene45) & (!Gene17)
Gene33 = (!Gene2) & (Gene7) & (Gene8) & (Gene38) & (Gene49) & (!Gene12) & (Gene6) & (Gene32) & (Gene57) & (Gene55)
Gene34 = (!Gene42) | (Gene20) | (Gene48) | (Gene5) | (Gene30) | (Gene2) | (!Gene40) | (!Gene38) | (!Gene57) | (Gene6)
Gene35 = (Gene35) | (Gene50) | (Gene20) | (Gene42) | (!Gene5) | (Gene30) | (Gene55) | (Gene40) | (Gene38) | (Gene6)
Gene36 = (Gene8) | (Gene36) | (Gene2) | (Gene22) | (Gene9) | (Gene50) | (Gene40) | (!Gene25) | (Gene20) | (Gene56)
Gene37 = (!Gene26) & (!Gene63) & (!Gene27) & (!Gene50) & (!Gene51) & (!Gene56) & (!Gene64) & (!Gene36) & (!Gene38) & (!Gene57)
Gene38 = (Gene22) | (Gene27) | (Gene40) | (!Gene12) | (Gene6) | (Gene9) | (Gene50) | (Gene58) | (Gene56) | (Gene38)
Gene39 = (Gene58) | (Gene22) | (Gene42) | (Gene60) | (Gene24) | (Gene6) | (Gene9) | (!Gene12) | (Gene50) | (!Gene25)
Gene40 = (Gene20) & (Gene24) & (Gene28) & (Gene50) & (Gene55) & (Gene58) & (Gene8) & (Gene36) & (Gene38) & (!Gene12)
