Gene1 = (!Gene4) | (Gene8) | (Gene11) | (Gene12) | (Gene22) | (!Gene20) | (Gene46) | (!Gene3) | (Gene1) | (!Gene5)
Gene2 = (Gene38) | (Gene2) | (Gene31) | (Gene41) | (Gene4) | (Gene34) | (Gene12) | (Gene42) | (Gene10) | (!Gene29)
Gene3 = (!Gene46) | (Gene8) | (!Gene17) | (Gene18) | (!Gene24) | (Gene1) | (!Gene5) | (!Gene9) | (Gene44) | (Gene53)
Gene4 = (Gene3) & (Gene4) & (!Gene17) & (Gene18) & (!Gene1) & (!Gene36) & (!Gene55) & (!Gene24) & (Gene2) & (Gene9)
Gene5 = (!Gene39) | (!Gene63) | (Gene6) | (!Gene3) | (Gene10) | (Gene18) | (Gene4) | (Gene11) | (!Gene62) | (!Gene9)
Gene6 = (Gene25) & (Gene6) & (Gene1) & (Gene17) & (!Gene46) & (!Gene55) & (Gene15) & (Gene2) & (Gene9) & (!Gene44)
Gene7 = (Gene9) | (Gene50) | (!Gene47) | (!Gene17) | (Gene18) | (!Gene24) | (!Gene3) | (Gene55) | (!Gene15) | (Gene2)
Gene8 = (!Gene34) | (!Gene4) | (Gene17) | (!Gene18) | (Gene24) | (Gene36) | (Gene55) | (Gene1) | (!Gene2) | (!Gene9)
Gene9 = (Gene2) | (Gene9) | (Gene3) | (Gene5) | (Gene17) | (!Gene18) | (Gene24) | (Gene4) | (!Gene44) | (Gene53)
Gene10 = (!Gene19) & (Gene34) & (!Gene11) & (!Gene12) & (!Gene22) & (Gene20) & (!Gene46) & (Gene3) & (!Gene1) & (Gene4)
Gene11 = (!Gene42) & (Gene11) & (!Gene26) & (!Gene4) & (Gene17) & (!Gene31) & (!Gene34) & (!Gene18) & (Gene47) & (!Gene44)
Gene12 = (!Gene26) & (!Gene31) & (Gene9) & (Gene12) & (Gene22) & (!Gene34) & (!Gene4) & (Gene17) & (!Gene18) & (!Gene39)
Gene13 = (!Gene4) & (Gene47) & (Gene13) & (Gene50) & (!Gene26) & (!Gene25) & (!Gene31) & (Gene43) & (!Gene42) & (!Gene34)
Gene14 = (Gene56) | (Gene14) | (!Gene9) | (Gene34) | (!Gene17) | (Gene4) | (!Gene36) | (Gene42) | (Gene18) | (Gene44)
Gene15 = (Gene35) | (Gene24) | (Gene17) | (Gene4) | (!Gene55) | (Gene3) | (Gene2) | (Gene9) | (!Gene44) | (Gene53)
Gene16 = (!Gene3) | (!Gene4) | (Gene17) | (!Gene18) | (Gene24) | (Gene36) | (Gene55) | (Gene1) | (!Gene2) | (!Gene9)
