Gene1 = (Gene3) | (Gene1) | (!Gene4) | (Gene61) | (Gene15) | (Gene35) | (!Gene52) | (Gene30) | (Gene19) | (Gene9)
Gene2 = (!Gene1) & (Gene21) & (Gene48) & (Gene61) & (Gene15) & (Gene35) & (!Gene52) & (Gene30) & (Gene46) & (Gene4)
Gene3 = (Gene3) & (!Gene1) & (Gene48) & (Gene61) & (Gene15) & (Gene35) & (!Gene52) & (Gene30) & (Gene46) & (Gene2)
Gene4 = (!Gene59) | (!Gene47) | (Gene17) | (Gene34) | (Gene28) | (!Gene52) | (Gene15) | (Gene35) | (Gene61) | (Gene30)
Gene5 = (Gene6) | (Gene20) | (!Gene1) | (Gene39) | (Gene37) | (!Gene19) | (Gene21) | (Gene50) | (Gene47) | (Gene13)
Gene6 = (Gene7) & (Gene22) & (Gene37) & (!Gene49) & (Gene16) & (!Gene51) & (!Gene23) & (Gene12) & (Gene13) & (Gene47)
Gene7 = (!Gene47) & (!Gene13) & (Gene1) & (!Gene62) & (!Gene60) & (!Gene50) & (!Gene21) & (Gene19) & (!Gene2) & (Gene22)
Gene8 = (!Gene43) & (Gene8) & (!Gene54) & (!Gene28) & (Gene52) & (!Gene15) & (!Gene35) & (!Gene61) & (!Gene30) & (!Gene2)
Gene9 = (Gene15) & (Gene35) & (!Gene52) & (!Gene12) & (Gene30) & (Gene46) & (!Gene13) & (!Gene3) & (!Gene2) & (Gene1)
Gene10 = (!Gene15) | (!Gene35) | (Gene52) | (Gene19) | (!Gene20) | (!Gene46) | (Gene13) | (!Gene16) | (Gene10) | (Gene12)
Gene11 = (Gene11) & (Gene12) & (Gene13) & (!Gene2) & (Gene60) & (!Gene9) & (Gene4) & (!Gene19) & (Gene37) & (!Gene3)
Gene12 = (!Gene35) & (!Gene61) & (!Gene2) & (Gene62) & (Gene45) & (!Gene9) & (!Gene3) & (!Gene19) & (!Gene15) & (Gene12)
Gene13 = (Gene12) & (Gene13) & (!Gene2) & (Gene62) & (!Gene35) & (!Gene9) & (!Gene3) & (!Gene19) & (!Gene15) & (Gene45)
Gene14 = (!Gene64) & (Gene24) & (!Gene34) & (!Gene63) & (Gene52) & (!Gene15) & (!Gene35) & (!Gene61) & (!Gene30) & (!Gene3)
Gene15 = (Gene35) & (Gene15) & (!Gene52) & (!Gene12) & (Gene16) & (Gene46) & (!Gene13) & (Gene20) & (!Gene19) & (!Gene27)
