Gene1 = (Gene3) & (Gene1) & (!Gene24) & (!Gene8) & (!Gene14) & (Gene10) & (Gene12) & (!Gene6) & (Gene5) & (!Gene31)
Gene2 = (Gene13) & (!Gene16) & (!Gene19) & (!Gene17) & (Gene12) & (Gene3) & (!Gene22) & (!Gene11) & (Gene4) & (!Gene14)
Gene3 = (!Gene17) | (!Gene7) | (!Gene10) | (Gene3) | (Gene6) | (Gene9) | (Gene16) | (Gene19) | (Gene21) | (Gene20)
Gene4 = (Gene4) | (!Gene27) | (Gene8) | (Gene17) | (!Gene12) | (!Gene3) | (Gene22) | (Gene13) | (Gene6) | (!Gene5)
Gene5 = (!Gene6) | (Gene1) | (Gene5) | (Gene10) | (!Gene31) | (!Gene30) | (!Gene18) | (Gene32) | (!Gene9) | (Gene17)
Gene6 = (!Gene1) & (Gene6) & (!Gene5) & (Gene9) & (Gene31) & (Gene30) & (Gene18) & (!Gene32) & (!Gene10) & (!Gene17)
Gene7 = (Gene4) | (!Gene27) | (Gene13) | (Gene8) | (Gene17) | (!Gene12) | (!Gene3) | (Gene22) | (!Gene5) | (Gene6)
Gene8 = (Gene17) & (!Gene12) & (Gene8) & (!Gene1) & (Gene22) & (!Gene11) & (!Gene6) & (!Gene9) & (Gene7) & (Gene27)
Gene9 = (Gene6) & (!Gene1) & (!Gene5) & (Gene9) & (Gene31) & (Gene30) & (Gene18) & (!Gene32) & (!Gene10) & (!Gene17)
Gene10 = (Gene1) | (!Gene6) | (Gene5) | (Gene10) | (!Gene31) | (!Gene30) | (!Gene18) | (Gene32) | (!Gene9) | (Gene17)
Gene11 = (!Gene17) | (Gene16) | (Gene20) | (Gene6) | (!Gene10) | (Gene19) | (!Gene7) | (Gene9) | (Gene24) | (Gene1)
Gene12 = (!Gene17) | (Gene12) | (Gene20) | (Gene6) | (!Gene10) | (Gene16) | (!Gene7) | (Gene9) | (Gene19) | (Gene24)
Gene13 = (Gene4) & (Gene15) & (!Gene8) & (!Gene17) & (Gene12) & (Gene3) & (!Gene20) & (!Gene24) & (!Gene27) & (Gene26)
Gene14 = (!Gene12) & (Gene17) & (!Gene1) & (!Gene6) & (Gene22) & (!Gene16) & (Gene7) & (!Gene9) & (Gene10) & (!Gene11)
Gene15 = (Gene3) | (!Gene17) | (Gene6) | (Gene8) | (!Gene4) | (!Gene5) | (!Gene23) | (!Gene7) | (Gene21) | (Gene9)
Gene16 = (Gene25) & (!Gene21) & (!Gene24) & (!Gene20) & (!Gene1) & (Gene10) & (!Gene9) & (!Gene6) & (Gene5) & (!Gene31)
Gene17 = (!Gene16) & (Gene17) & (!Gene20) & (!Gene6) & (Gene10) & (!Gene19) & (Gene7) & (!Gene9) & (!Gene24) & (!Gene1)
Gene18 = (!Gene1) & (Gene31) & (Gene18) & (!Gene5) & (Gene6) & (Gene30) & (!Gene10) & (!Gene32) & (Gene9) & (!Gene17)
Gene19 = (Gene32) & (!Gene5) & (Gene3) & (Gene7) & (!Gene10) & (!Gene31) & (!Gene30) & (Gene4) & (!Gene8) & (!Gene17)
Gene20 = (Gene3) & (Gene7) & (Gene24) & (Gene16) & (Gene25) & (!Gene10) & (Gene4) & (!Gene6) & (!Gene8) & (!Gene31)
Gene21 = (!Gene10) | (Gene20) | (!Gene7) | (Gene6) | (Gene9) | (Gene24) | (Gene19) | (Gene1) | (Gene21) | (Gene11)
Gene22 = (!Gene12) & (Gene17) & (!Gene1) & (!Gene6) & (Gene10) & (!Gene16) & (Gene7) & (!Gene9) & (!Gene19) & (Gene22)
Gene23 = (Gene5) & (Gene12) & (!Gene8) & (Gene3) & (!Gene22) & (!Gene1) & (Gene23) & (!Gene14) & (Gene21) & (!Gene13)
Gene24 = (Gene7) & (Gene3) & (Gene24) & (Gene16) & (Gene25) & (!Gene10) & (Gene4) & (!Gene6) & (!Gene8) & (!Gene31)
Gene25 = (!Gene21) & (Gene25) & (!Gene24) & (!Gene20) & (!Gene1) & (Gene10) & (!Gene9) & (!Gene6) & (Gene5) & (!Gene30)
Gene26 = (Gene5) | (Gene26) | (Gene12) | (!Gene8) | (!Gene22) | (Gene11) | (Gene28) | (!Gene14) | (Gene21) | (!Gene27)
Gene27 = (!Gene6) & (Gene27) & (Gene8) & (Gene17) & (!Gene12) & (!Gene1) & (Gene22) & (!Gene11) & (Gene7) & (!Gene9)
Gene28 = (Gene16) | (Gene19) | (Gene9) | (Gene6) | (!Gene7) | (!Gene10) | (Gene20) | (!Gene17) | (Gene21) | (Gene24)
Gene29 = (!Gene4) & (Gene3) & (!Gene17) & (Gene12) & (!Gene8) & (!Gene22) & (Gene1) & (!Gene23) & (!Gene14) & (Gene15)
Gene30 = (Gene4) & (Gene30) & (Gene18) & (Gene7) & (Gene12) & (!Gene1) & (!Gene8) & (!Gene32) & (Gene3) & (!Gene17)
Gene31 = (!Gene1) & (Gene31) & (Gene18) & (!Gene5) & (Gene6) & (Gene9) & (!Gene10) & (Gene30) & (!Gene32) & (!Gene17)
Gene32 = (!Gene5) & (Gene3) & (Gene7) & (!Gene10) & (!Gene31) & (!Gene30) & (Gene4) & (Gene32) & (!Gene8) & (!Gene17)
