Gene1 = Gene1&!Gene14
Gene2 = Gene29
Gene3 = Gene3
Gene4 = Gene4
Gene5 = Gene5&Gene18
Gene6 = !Gene4&!Gene5
Gene7 = Gene7
Gene8 = Gene18
Gene9 = Gene2
Gene10 = !Gene5
Gene11 = !Gene4 || Gene26 || !Gene26&!Gene29 || Gene12&!Gene8&!Gene26
Gene12 = Gene5&!Gene20&!Gene28
Gene13 = Gene25
Gene14 = !Gene10 || Gene29 || Gene13&!Gene3&!Gene27 || !Gene2&!Gene3&!Gene30
Gene15 = Gene21
Gene16 = Gene6&Gene24&Gene29&!Gene1&!Gene23
Gene17 = Gene16 || Gene28 || Gene21
Gene18 = Gene8&Gene14&Gene24&!Gene1&!Gene20
Gene19 = Gene19&Gene24
Gene20 = !Gene26 || Gene20
Gene21 = Gene21
Gene22 = Gene8&Gene17&Gene22&Gene24&Gene26&!Gene6 || Gene24&!Gene32
Gene23 = Gene32
Gene24 = !Gene3&!Gene23
Gene25 = Gene25
Gene26 = Gene4 || Gene9
Gene27 = Gene5&Gene12&!Gene20
Gene28 = !Gene15 || Gene15
Gene29 = Gene4&Gene32&!Gene1&!Gene2&!Gene10&!Gene17&!Gene26
Gene30 = Gene13&!Gene26
Gene31 = !Gene4 || Gene7 || Gene25&!Gene5&!Gene22
Gene32 = Gene10&!Gene23
