Gene1 = Gene1&!Gene7&!Gene14
Gene2 = Gene25&!Gene4&!Gene22 || !Gene14 || Gene3&Gene32&!Gene16&!Gene29
Gene3 = Gene25
Gene4 = Gene3&Gene4&Gene13&Gene28
Gene5 = Gene21&Gene28&Gene31&!Gene27
Gene6 = Gene6
Gene7 = Gene27
Gene8 = Gene22
Gene9 = Gene30
Gene10 = Gene18 || Gene25 || Gene22
Gene11 = Gene4
Gene12 = Gene24&!Gene26
Gene13 = Gene18 || Gene13
Gene14 = Gene13 || Gene29
Gene15 = Gene29 || !Gene9&!Gene31
Gene16 = Gene2&Gene14&Gene21&Gene24
Gene17 = Gene10 || !Gene4 || Gene28 || Gene4&!Gene1&!Gene3&!Gene17
Gene18 = Gene8
Gene19 = !Gene7&!Gene25
Gene20 = Gene20 || Gene3&!Gene10
Gene21 = Gene22&Gene29&!Gene15
Gene22 = !Gene7&!Gene8 || Gene22
Gene23 = Gene23
Gene24 = Gene14&Gene24&!Gene19&!Gene21 || !Gene3&!Gene6 || Gene24&!Gene7
Gene25 = !Gene13&!Gene18
Gene26 = !Gene18&!Gene29
Gene27 = Gene27&!Gene4&!Gene9&!Gene12&!Gene25 || !Gene31 || !Gene24&!Gene26
Gene28 = Gene4
Gene29 = Gene13&Gene30 || Gene29 || Gene30&!Gene10
Gene30 = Gene4&Gene17&!Gene15
Gene31 = Gene8&Gene31
Gene32 = Gene8
