Gene1 = Gene16
Gene2 = !Gene18 || Gene55&!Gene13
Gene3 = Gene25 || Gene3&!Gene34 || Gene47 || !Gene38 || !Gene31 || Gene26&Gene52 || Gene20 || Gene16
Gene4 = Gene30&Gene49&Gene63&!Gene24&!Gene55
Gene5 = Gene50 || Gene58 || Gene57 || Gene64&!Gene63
Gene6 = !Gene38 || Gene8&!Gene64
Gene7 = Gene31 || Gene51
Gene8 = Gene64 || Gene53
Gene9 = !Gene57 || Gene47 || Gene14&Gene57 || Gene37 || !Gene33 || Gene9
Gene10 = Gene18&Gene38
Gene11 = Gene10&Gene28
Gene12 = Gene2&Gene12&Gene29&Gene43&Gene61&!Gene41&!Gene62
Gene13 = Gene24&Gene37&Gene54&!Gene29
Gene14 = !Gene52 || Gene8 || Gene34&Gene62&!Gene35
Gene15 = Gene47
Gene16 = !Gene53&!Gene58
Gene17 = Gene55 || Gene12
Gene18 = Gene43&Gene44
Gene19 = Gene14
Gene20 = !Gene37&!Gene52
Gene21 = Gene35
Gene22 = Gene11
Gene23 = Gene35&Gene40&Gene49&!Gene13&!Gene15&!Gene29&!Gene48
Gene24 = Gene41
Gene25 = Gene21&Gene28&!Gene13&!Gene31&!Gene56
Gene26 = Gene4&Gene15&Gene33&Gene37&Gene56&!Gene41&!Gene58
Gene27 = Gene10&Gene32
Gene28 = Gene8&Gene13&Gene49
Gene29 = Gene13
Gene30 = Gene51
Gene31 = Gene31
Gene32 = Gene58 || Gene42 || Gene23&!Gene38&!Gene39
Gene33 = Gene16
Gene34 = Gene4&Gene8&Gene16&Gene34&Gene56&!Gene41&!Gene49
Gene35 = Gene54&!Gene10&!Gene28&!Gene57
Gene36 = Gene36 || Gene8
Gene37 = Gene11&Gene37
Gene38 = Gene38
Gene39 = Gene17 || Gene26 || Gene44
Gene40 = Gene40
Gene41 = Gene41&Gene45&!Gene26
Gene42 = Gene2&Gene9&Gene16&Gene24&Gene30&Gene32&!Gene15&!Gene34&!Gene64
Gene43 = Gene33&Gene43&!Gene10 || Gene37 || Gene10&Gene17&Gene51&!Gene62
Gene44 = Gene44
Gene45 = !Gene14
Gene46 = Gene55&!Gene8&!Gene28&!Gene56
Gene47 = Gene26
Gene48 = Gene50 || Gene42
Gene49 = !Gene6 || !Gene57 || Gene49&!Gene25 || Gene64
Gene50 = Gene39
Gene51 = Gene51
Gene52 = Gene31 || Gene41&!Gene24
Gene53 = Gene5&Gene27
Gene54 = Gene20&Gene21&Gene30&!Gene25&!Gene57&!Gene64
Gene55 = !Gene3&!Gene25&!Gene62
Gene56 = Gene2&Gene9&Gene16&Gene24&Gene30&Gene32&!Gene15&!Gene34&!Gene64
Gene57 = Gene61 || Gene31
Gene58 = Gene41
Gene59 = Gene18&Gene31&Gene49&Gene63
Gene60 = Gene38&!Gene29 || Gene11&Gene28&!Gene40 || Gene48&Gene63&!Gene24&!Gene55
Gene61 = !Gene39&!Gene64
Gene62 = Gene62
Gene63 = Gene5&!Gene20&!Gene49&!Gene60
Gene64 = Gene25
